"DateTime","Players","Flags","Twitch Viewers"
"2017-04-01 00:00:00",2
"2017-04-02 00:00:00",
"2017-04-03 00:00:00",
"2017-04-04 00:00:00",
"2017-04-05 00:00:00",
"2017-04-06 00:00:00",
"2017-04-07 00:00:00",
"2017-04-08 00:00:00",
"2017-04-09 00:00:00",
"2017-04-10 00:00:00",
"2017-04-11 00:00:00",
"2017-04-12 00:00:00",1
"2017-04-13 00:00:00",1
"2017-04-14 00:00:00",1
"2017-04-15 00:00:00",1
"2017-04-16 00:00:00",
"2017-04-17 00:00:00",1
"2017-04-18 00:00:00",2
"2017-04-19 00:00:00",1
"2017-04-20 00:00:00",1
"2017-04-21 00:00:00",2
"2017-04-22 00:00:00",2
"2017-04-23 00:00:00",1
"2017-04-24 00:00:00",
"2017-04-25 00:00:00",
"2017-04-26 00:00:00",
"2017-04-27 00:00:00",
"2017-04-28 00:00:00",
"2017-04-29 00:00:00",
"2017-04-30 00:00:00",
"2017-05-01 00:00:00",
"2017-05-02 00:00:00",
"2017-05-03 00:00:00",
"2017-05-04 00:00:00",
"2017-05-05 00:00:00",
"2017-05-06 00:00:00",
"2017-05-07 00:00:00",
"2017-05-08 00:00:00",
"2017-05-09 00:00:00",
"2017-05-10 00:00:00",
"2017-05-11 00:00:00",
"2017-05-12 00:00:00",
"2017-05-13 00:00:00",
"2017-05-14 00:00:00",
"2017-05-15 00:00:00",
"2017-05-16 00:00:00",
"2017-05-17 00:00:00",
"2017-05-18 00:00:00",1
"2017-05-19 00:00:00",1
"2017-05-20 00:00:00",1
"2017-05-21 00:00:00",2
"2017-05-22 00:00:00",1
"2017-05-23 00:00:00",0
"2017-05-24 00:00:00",0
"2017-05-25 00:00:00",0
"2017-05-26 00:00:00",1
"2017-05-27 00:00:00",1
"2017-05-28 00:00:00",1
"2017-05-29 00:00:00",1
"2017-05-30 00:00:00",1
"2017-05-31 00:00:00",0
"2017-06-01 00:00:00",1
"2017-06-02 00:00:00",1
"2017-06-03 00:00:00",1
"2017-06-04 00:00:00",0
"2017-06-05 00:00:00",0
"2017-06-06 00:00:00",0
"2017-06-07 00:00:00",0
"2017-06-08 00:00:00",1
"2017-06-09 00:00:00",0
"2017-06-10 00:00:00",0
"2017-06-11 00:00:00",0
"2017-06-12 00:00:00",0
"2017-06-13 00:00:00",0
"2017-06-14 00:00:00",0
"2017-06-15 00:00:00",0
"2017-06-16 00:00:00",1
"2017-06-17 00:00:00",2
"2017-06-18 00:00:00",0
"2017-06-19 00:00:00",0
"2017-06-20 00:00:00",0
"2017-06-21 00:00:00",0
"2017-06-22 00:00:00",1
"2017-06-23 00:00:00",1
"2017-06-24 00:00:00",0
"2017-06-25 00:00:00",1
"2017-06-26 00:00:00",0
"2017-06-27 00:00:00",0
"2017-06-28 00:00:00",0
"2017-06-29 00:00:00",1
"2017-06-30 00:00:00",0
"2017-07-01 00:00:00",0
"2017-07-02 00:00:00",0
"2017-07-03 00:00:00",1
"2017-07-04 00:00:00",1
"2017-07-05 00:00:00",1
"2017-07-06 00:00:00",0
"2017-07-07 00:00:00",0
"2017-07-08 00:00:00",1
"2017-07-09 00:00:00",1
"2017-07-10 00:00:00",0
"2017-07-11 00:00:00",1
"2017-07-12 00:00:00",
"2017-07-13 00:00:00",1
"2017-07-14 00:00:00",1
"2017-07-15 00:00:00",1
"2017-07-16 00:00:00",1
"2017-07-17 00:00:00",1
"2017-07-18 00:00:00",1
"2017-07-19 00:00:00",
"2017-07-20 00:00:00",
"2017-07-21 00:00:00",
"2017-07-22 00:00:00",1
"2017-07-23 00:00:00",1
"2017-07-24 00:00:00",1
"2017-07-25 00:00:00",
"2017-07-26 00:00:00",
"2017-07-27 00:00:00",1
"2017-07-28 00:00:00",
"2017-07-29 00:00:00",
"2017-07-30 00:00:00",1
"2017-07-31 00:00:00",
"2017-08-01 00:00:00",
"2017-08-02 00:00:00",
"2017-08-03 00:00:00",
"2017-08-04 00:00:00",1
"2017-08-05 00:00:00",
"2017-08-06 00:00:00",
"2017-08-07 00:00:00",
"2017-08-08 00:00:00",
"2017-08-09 00:00:00",
"2017-08-10 00:00:00",
"2017-08-11 00:00:00",
"2017-08-12 00:00:00",
"2017-08-13 00:00:00",
"2017-08-14 00:00:00",
"2017-08-15 00:00:00",
"2017-08-16 00:00:00",
"2017-08-17 00:00:00",1
"2017-08-18 00:00:00",1
"2017-08-19 00:00:00",1
"2017-08-20 00:00:00",
"2017-08-21 00:00:00",1
"2017-08-22 00:00:00",
"2017-08-23 00:00:00",
"2017-08-24 00:00:00",
"2017-08-25 00:00:00",,,3
"2017-08-26 00:00:00",1,,0
"2017-08-27 00:00:00",1,,0
"2017-08-28 00:00:00",,,0
"2017-08-29 00:00:00",2,,0
"2017-08-30 00:00:00",,,0
"2017-08-31 00:00:00",1,,0
"2017-09-01 00:00:00",,,3
"2017-09-02 00:00:00",,,0
"2017-09-03 00:00:00",,,0
